times,flux,flux_err
3.226154015552936471e+03,9.991354346275329590e-01,8.555122102388499879e-04
3.226156330478909695e+03,1.000507712364196777e+00,8.555122102388499879e-04
3.226158645404415438e+03,1.001195073127746582e+00,8.555122102388499879e-04
3.226160960329921636e+03,1.000196218490600586e+00,8.555122102388499879e-04
3.226163275255427834e+03,9.991676807403564453e-01,8.555122102388499879e-04
3.226165590180934487e+03,1.000431299209594727e+00,8.555122102388499879e-04
3.226167905106440230e+03,9.997264742851257324e-01,8.555122102388499879e-04
3.226170220031946428e+03,1.001040577888488770e+00,8.555122102388499879e-04
3.226172534957454445e+03,1.000368475914001465e+00,8.555122102388499879e-04
3.226174849882960189e+03,1.000130653381347656e+00,8.555122102388499879e-04
3.226177164808000271e+03,1.000194787979125977e+00,8.555122102388499879e-04
3.226179479733506923e+03,9.986633062362670898e-01,8.555122102388499879e-04
3.226181794659013576e+03,1.001707434654235840e+00,8.555122102388499879e-04
3.226184109584519319e+03,1.000788807868957520e+00,8.555122102388499879e-04
3.226186424510026427e+03,1.000140905380249023e+00,8.555122102388499879e-04
3.226188739435067419e+03,9.999220967292785645e-01,8.555122102388499879e-04
3.226191054360573617e+03,9.999576807022094727e-01,8.555122102388499879e-04
3.226193369286079360e+03,9.989665150642395020e-01,8.555122102388499879e-04
3.226195684211586013e+03,1.000853896141052246e+00,8.555122102388499879e-04
3.226197999136627459e+03,9.996506571769714355e-01,8.555122102388499879e-04
3.226200314062133657e+03,9.995236992835998535e-01,8.555122102388499879e-04
3.226202628987173284e+03,9.998396039009094238e-01,8.555122102388499879e-04
3.226204943912680392e+03,1.001024842262268066e+00,8.555122102388499879e-04
3.226207258838187499e+03,9.986937046051025391e-01,8.555122102388499879e-04
3.226209573763228036e+03,9.989663362503051758e-01,8.555122102388499879e-04
3.226211888688733779e+03,9.992105960845947266e-01,8.555122102388499879e-04
3.226214203613774316e+03,1.001199960708618164e+00,8.555122102388499879e-04
3.226216518538815762e+03,9.988089203834533691e-01,8.555122102388499879e-04
3.226218833464321506e+03,1.000746846199035645e+00,8.555122102388499879e-04
3.226221148389362952e+03,1.000526309013366699e+00,8.555122102388499879e-04
3.226223463314869605e+03,9.996507763862609863e-01,8.555122102388499879e-04
3.226225778239910142e+03,9.998854398727416992e-01,8.555122102388499879e-04
3.226228093164951588e+03,9.987475872039794922e-01,8.555122102388499879e-04
3.226230408089992579e+03,1.000038862228393555e+00,8.555122102388499879e-04
3.226232723015498777e+03,9.999311566352844238e-01,8.555122102388499879e-04
3.226235037940539314e+03,9.999977946281433105e-01,8.555122102388499879e-04
3.226237352865580306e+03,1.001669764518737793e+00,8.555122102388499879e-04
3.226239667790621752e+03,1.000423908233642578e+00,8.555122102388499879e-04
3.226241982715661834e+03,9.986703395843505859e-01,8.555122102388499879e-04
3.226244297641168032e+03,1.001077294349670410e+00,8.555122102388499879e-04
3.226246612566209478e+03,9.986196756362915039e-01,8.555122102388499879e-04
3.226248927491250015e+03,1.000137686729431152e+00,8.555122102388499879e-04
3.226251242416290552e+03,1.000030875205993652e+00,8.555122102388499879e-04
3.226253557341331543e+03,9.989517331123352051e-01,8.555122102388499879e-04
3.226255872266372535e+03,9.999306797981262207e-01,8.555122102388499879e-04
3.226258187191413072e+03,1.001074075698852539e+00,8.555122102388499879e-04
3.226260502116453608e+03,1.000204443931579590e+00,8.555122102388499879e-04
3.226262817041028484e+03,9.998682141304016113e-01,8.555122102388499879e-04
3.226265131966069021e+03,1.000013351440429688e+00,8.555122102388499879e-04
3.226267446891110012e+03,9.978970289230346680e-01,8.555122102388499879e-04
3.226269761816151458e+03,9.998247623443603516e-01,8.555122102388499879e-04
3.226272076741191995e+03,9.993189573287963867e-01,8.555122102388499879e-04
3.226274391666232532e+03,1.000703096389770508e+00,8.555122102388499879e-04
3.226276706590806953e+03,1.000782728195190430e+00,8.555122102388499879e-04
3.226279021515847489e+03,1.000952124595642090e+00,8.555122102388499879e-04
3.226281336440888936e+03,1.001062273979187012e+00,8.555122102388499879e-04
3.226283651365463356e+03,1.000870823860168457e+00,8.555122102388499879e-04
3.226285966290504348e+03,1.000420331954956055e+00,8.555122102388499879e-04
3.226288281215545794e+03,9.996796846389770508e-01,8.555122102388499879e-04
3.226290596140120670e+03,9.994568228721618652e-01,8.555122102388499879e-04
3.226292911065161206e+03,1.000390291213989258e+00,8.555122102388499879e-04
3.226295225989736537e+03,1.000109553337097168e+00,8.555122102388499879e-04
3.226297540914777073e+03,1.000326991081237793e+00,8.555122102388499879e-04
3.226299855839351949e+03,9.980530142784118652e-01,8.555122102388499879e-04
3.226302170764392486e+03,9.976241588592529297e-01,8.555122102388499879e-04
3.226304485688967816e+03,9.988270401954650879e-01,8.555122102388499879e-04
3.226306800614008353e+03,9.992159008979797363e-01,8.555122102388499879e-04
3.226309115538583683e+03,1.000249505043029785e+00,8.555122102388499879e-04
3.226311430463159013e+03,1.000877022743225098e+00,8.555122102388499879e-04
3.226313745388200914e+03,1.001121878623962402e+00,8.555122102388499879e-04
3.226316060312775335e+03,9.984582066535949707e-01,8.555122102388499879e-04
3.226318375237350665e+03,1.000816702842712402e+00,8.555122102388499879e-04
3.226320690161925540e+03,1.000769853591918945e+00,8.555122102388499879e-04
3.226323005086967441e+03,9.998435974121093750e-01,8.555122102388499879e-04
3.226325320011541407e+03,9.991849660873413086e-01,8.555122102388499879e-04
3.226327634936116283e+03,9.996965527534484863e-01,8.555122102388499879e-04
